source,sample_bases,window_bases,window_count,geco2_level,model_label,single_window_mean_bpb,single_window_std_bpb,full_sequence_theoretical_bpb,full_sequence_arithmetic_bpb,delta_full_minus_window_mean_bpb,trace_index_path,curve_data_path,plot_path,trace_read_seconds
HoSa,189752667,8192,23164,,Carbon 3B,1.429413587559072,0.2913890110601664,1.4294143541399278,,7.66580855682264e-07,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/traces/HoSa/position_index.json,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/species_curves_v3/curve_data/carbon3b_w8192_curve_HoSa.npz,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/species_curves_v3/carbon3b_w8192_curve_HoSa.png,12.43955174300936
GaGa,148532294,8192,18132,,Carbon 3B,1.7564816879289753,0.137076670419198,1.756504481378786,,2.2793449810709632e-05,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/traces/GaGa/position_index.json,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/species_curves_v3/curve_data/carbon3b_w8192_curve_GaGa.npz,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/species_curves_v3/carbon3b_w8192_curve_GaGa.png,9.136599060002482
AnCa,142189675,8192,17358,,Carbon 3B,1.4821732406169974,0.21908743903041691,1.4821611031344837,,-1.2137482513718822e-05,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/traces/AnCa/position_index.json,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/species_curves_v3/curve_data/carbon3b_w8192_curve_AnCa.npz,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/species_curves_v3/carbon3b_w8192_curve_AnCa.png,9.86541723299888
DaRe,62565020,8192,7638,,Carbon 3B,1.3509423027386434,0.2166038239789376,1.3509430659030903,,7.631644469707766e-07,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/traces/DaRe/position_index.json,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/species_curves_v3/curve_data/carbon3b_w8192_curve_DaRe.npz,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/species_curves_v3/carbon3b_w8192_curve_DaRe.png,3.8302980520238634
OrSa,43262523,8192,5282,,Carbon 3B,1.5942764316220506,0.1919172071090462,1.5942965463313044,,2.0114709253782337e-05,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/traces/OrSa/position_index.json,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/species_curves_v3/curve_data/carbon3b_w8192_curve_OrSa.npz,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/species_curves_v3/carbon3b_w8192_curve_OrSa.png,2.614367383008357
DrMe,32181429,8192,3929,,Carbon 3B,1.696208788164604,0.18644225578639756,1.696182175764848,,-2.661239975587648e-05,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/traces/DrMe/position_index.json,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/species_curves_v3/curve_data/carbon3b_w8192_curve_DrMe.npz,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/species_curves_v3/carbon3b_w8192_curve_DrMe.png,1.9366730559850112
EnIn,26403087,8192,3224,,Carbon 3B,1.8076649246570053,0.06826711800270882,1.807663384156745,,-1.5405002602442153e-06,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/traces/EnIn/position_index.json,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/species_curves_v3/curve_data/carbon3b_w8192_curve_EnIn.npz,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/species_curves_v3/carbon3b_w8192_curve_EnIn.png,1.8286628430068959
ScPo,10652155,8192,1301,,Carbon 3B,1.7718515818713563,0.10676432546597696,1.772024899339625,,0.00017331746826876326,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/traces/ScPo/position_index.json,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/species_curves_v3/curve_data/carbon3b_w8192_curve_ScPo.npz,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/species_curves_v3/carbon3b_w8192_curve_ScPo.png,0.6729549339797813
WaMe,9144432,8192,1117,,Carbon 3B,1.7116183319168947,0.10714784083907693,1.7116795190549097,,6.11871380149509e-05,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/traces/WaMe/position_index.json,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/species_curves_v3/curve_data/carbon3b_w8192_curve_WaMe.npz,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/species_curves_v3/carbon3b_w8192_curve_WaMe.png,0.6110436449816916
PlFa,8986712,8192,1098,,Carbon 3B,1.7387216747625474,0.12647924596018975,1.7384370398786124,,-0.0002846348839349311,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/traces/PlFa/position_index.json,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/species_curves_v3/curve_data/carbon3b_w8192_curve_PlFa.npz,/home/Liang_junnan/DNACompress/outputs/carbon3b_dnacorpus_w8192_target_traces/species_curves_v3/carbon3b_w8192_curve_PlFa.png,0.5928203169896733
