split,species,source_name,geco2_level,sample_bytes,compressed_bytes,bits_per_base,percent_of_2bit,compression_seconds,compression_bases_per_second,geco2_command
train,OrSa,OrSa,10,25957513,5117362,1.577150168431005,78.85750842155025,24.94059548599762,1040773.5859624245,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""10"", ""/tmp/geco2_baseline_m6twyz4x/train_1_OrSa.seq""]"
train,HoSa,HoSa,12,113851600,23168734,1.6279953202238704,81.39976601119352,122.39413848199183,930204.6765642399,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""12"", ""/tmp/geco2_baseline_8nv4_zt6/train_2_HoSa.seq""]"
train,DaRe,DaRe,10,37539012,7022556,1.4965883492085514,74.82941746042758,33.562430669990135,1118483.1149182983,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""10"", ""/tmp/geco2_baseline_gs8guzv7/train_3_DaRe.seq""]"
train,ScPo,ScPo,8,6391293,1522675,1.9059367173434234,95.29683586717117,7.1156626750016585,898200.6725042668,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""8"", ""/tmp/geco2_baseline_m2udaf17/train_4_ScPo.seq""]"
train,EsCo,EsCo,6,2784991,662674,1.9035580366327933,95.17790183163967,1.4766984020243399,1885957.8883421153,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""6"", ""/tmp/geco2_baseline_ros7upse/train_5_EsCo.seq""]"
train,YeMi,YeMi,3,44213,10124,1.8318594078664645,91.59297039332323,0.09144668799126521,483483.8852143353,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""3"", ""/tmp/geco2_baseline_jf1zdcwt/train_6_YeMi.seq""]"
train,BuEb,BuEb,1,11364,2825,1.988736360436466,99.4368180218233,0.06457295001018792,175987.00381827154,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""1"", ""/tmp/geco2_baseline_9hzn6rlv/train_7_BuEb.seq""]"
train,AgPh,AgPh,2,26382,6445,1.9543628231369874,97.71814115684937,0.045793175988364965,576112.0391977853,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""2"", ""/tmp/geco2_baseline_anpzsq_p/train_8_AgPh.seq""]"
train,GaGa,GaGa,11,89119376,20422738,1.8332927286205416,91.66463643102708,80.10251845399034,1112566.4675722874,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""11"", ""/tmp/geco2_baseline_89r9zcdm/train_9_GaGa.seq""]"
train,DrMe,DrMe,10,19308857,4478559,1.8555459807900592,92.77729903950296,18.30507472201134,1054836.284103317,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""10"", ""/tmp/geco2_baseline_dbl73b7p/train_10_DrMe.seq""]"
train,EnIn,EnIn,9,15841852,3221097,1.626626482812742,81.3313241406371,14.97143062800751,1058138.824112384,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""9"", ""/tmp/geco2_baseline_9bdtl3bq/train_11_EnIn.seq""]"
train,PlFa,PlFa,7,5392027,1137265,1.6873283460932225,84.36641730466113,6.647242209990509,811167.5232619061,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""7"", ""/tmp/geco2_baseline_a7lqz0zp/train_12_PlFa.seq""]"
train,HePy,HePy,4,1000695,228964,1.8304398443082057,91.52199221541028,0.7651449110126123,1307850.298155489,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""4"", ""/tmp/geco2_baseline_h113rwmd/train_13_HePy.seq""]"
train,AeCa,AeCa,5,954629,229185,1.9206204714082644,96.03102357041323,0.738734509999631,1292249.0923031021,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""5"", ""/tmp/geco2_baseline_0c9bj155/train_14_AeCa.seq""]"
train,HaHi,HaHi,5,2334003,540005,1.850914501823691,92.54572509118455,1.2214235920109786,1910887.4392685066,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""5"", ""/tmp/geco2_baseline_d9up4ycd/train_15_HaHi.seq""]"
train,AnCa,AnCa,5,85313805,17835083,1.6724217610502778,83.6210880525139,31.017515960003948,2750504.1058094176,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""5"", ""/tmp/geco2_baseline_7jpye_v8/train_16_AnCa.seq""]"
train,WaMe,WaMe,5,5486659,1335389,1.94710697347876,97.355348673938,2.5444280929805245,2156342.7220193,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""5"", ""/tmp/geco2_baseline_x6ri9c0x/train_17_WaMe.seq""]"
val,OrSa,OrSa,10,8652504,1883453,1.7414177445049432,87.07088722524716,9.499762735009426,910812.6425213729,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""10"", ""/tmp/geco2_baseline_ng1z_pyg/val_1_OrSa.seq""]"
val,HoSa,HoSa,12,37950533,7971816,1.6804646195614696,84.02323097807349,43.18720811401727,878744.7639543618,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""12"", ""/tmp/geco2_baseline_t48eitig/val_2_HoSa.seq""]"
val,DaRe,DaRe,10,12513004,2501798,1.5994867419526118,79.97433709763058,13.231865948997438,945671.9141677894,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""10"", ""/tmp/geco2_baseline_y_stufwz/val_3_DaRe.seq""]"
val,ScPo,ScPo,8,2130431,517968,1.9450261472913228,97.25130736456614,3.7186722819751594,572900.9814407278,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""8"", ""/tmp/geco2_baseline_tkybj6zx/val_4_ScPo.seq""]"
val,EsCo,EsCo,6,928330,223429,1.9254273803496602,96.27136901748301,0.7748405059974175,1198091.727025812,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""6"", ""/tmp/geco2_baseline_27dakia8/val_5_EsCo.seq""]"
val,YeMi,YeMi,3,14737,3441,1.86795141480627,93.3975707403135,0.058460233005462214,252085.89227865468,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""3"", ""/tmp/geco2_baseline_zitn_3mf/val_6_YeMi.seq""]"
val,BuEb,BuEb,1,3788,976,2.061246040126716,103.0623020063358,0.03462424999452196,109403.09178102961,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""1"", ""/tmp/geco2_baseline_51ch0xfi/val_7_BuEb.seq""]"
val,AgPh,AgPh,2,8794,2195,1.996816010916534,99.8408005458267,0.03448306498466991,255023.73422749797,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""2"", ""/tmp/geco2_baseline_j456kl42/val_8_AgPh.seq""]"
val,GaGa,GaGa,11,29706458,6819110,1.8363979980380023,91.81989990190011,27.683165279013338,1073087.4775551958,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""11"", ""/tmp/geco2_baseline__t983ekm/val_9_GaGa.seq""]"
val,DrMe,DrMe,10,6436285,1522979,1.892991376236447,94.64956881182235,8.009468386997469,803584.5438192419,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""10"", ""/tmp/geco2_baseline_j8oc8l66/val_10_DrMe.seq""]"
val,EnIn,EnIn,9,5280617,1145789,1.7358410958416413,86.79205479208207,6.425754181022057,821789.4508936979,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""9"", ""/tmp/geco2_baseline_we_pat_f/val_11_EnIn.seq""]"
val,PlFa,PlFa,7,1797342,403599,1.796426055809078,89.8213027904539,3.4287919639900792,524191.0325490953,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""7"", ""/tmp/geco2_baseline_mh09yk3q/val_12_PlFa.seq""]"
val,HePy,HePy,4,333565,76378,1.8317988997646635,91.58994498823317,0.45400103999418207,734722.9865470673,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""4"", ""/tmp/geco2_baseline_7dz8sn9q/val_13_HePy.seq""]"
val,AeCa,AeCa,5,318209,76336,1.9191411933666238,95.9570596683312,0.5047164960124064,630470.7742149527,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""5"", ""/tmp/geco2_baseline_06dko762/val_14_AeCa.seq""]"
val,HaHi,HaHi,5,778001,181248,1.86373025227474,93.18651261373701,0.698526533000404,1113774.44269472,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""5"", ""/tmp/geco2_baseline_47q293z6/val_15_HaHi.seq""]"
